iter	Passed	Remaining
0	17	17506
1	22	11240
2	29	9728
3	35	8842
4	36	7260
5	37	6292
6	66	9482
7	70	8715
8	72	7967
9	74	7358
10	78	7031
11	102	8414
12	102	7816
13	103	7275
14	103	6817
15	105	6493
16	107	6227
17	110	6004
18	115	5942
19	117	5753
20	118	5503
21	118	5273
22	119	5064
23	119	4874
24	120	4695
25	121	4560
26	131	4756
27	132	4606
28	133	4462
29	133	4327
30	134	4200
31	134	4082
32	135	3973
33	138	3941
34	150	4147
35	151	4045
36	153	3994
37	154	3900
38	154	3810
39	160	3845
40	161	3780
41	163	3731
42	164	3654
43	164	3579
44	165	3508
45	165	3439
46	169	3431
47	178	3536
48	179	3484
49	180	3422
50	180	3362
51	181	3304
52	181	3249
53	182	3196
54	182	3144
55	183	3094
56	184	3045
57	184	3000
58	195	3125
59	198	3103
60	198	3056
61	199	3012
62	201	3003
63	203	2968
64	209	3006
65	217	3078
66	218	3039
67	220	3016
68	221	2988
69	229	3043
70	230	3015
71	231	2978
72	234	2973
73	237	2969
74	244	3012
75	245	2982
76	246	2953
77	247	2926
78	249	2906
79	261	3012
80	262	2983
81	263	2953
82	264	2924
83	265	2895
84	266	2868
85	281	2996
86	282	2965
87	283	2935
88	284	2908
89	284	2879
90	285	2851
91	286	2822
92	286	2794
93	287	2768
94	287	2741
95	288	2715
96	289	2690
97	289	2665
98	290	2641
99	291	2624
100	292	2600
101	293	2583
102	294	2560
103	294	2538
104	295	2516
105	295	2495
106	296	2474
107	297	2454
108	297	2433
109	301	2440
110	306	2457
111	308	2442
112	308	2423
113	309	2403
114	309	2384
115	310	2365
116	310	2344
117	311	2327
118	311	2309
119	312	2293
120	313	2276
121	313	2259
122	314	2242
123	315	2231
124	317	2219
125	320	2224
126	321	2211
127	322	2193
128	322	2178
129	323	2163
130	323	2148
131	324	2133
132	325	2118
133	325	2104
134	326	2089
135	326	2075
136	327	2062
137	328	2049
138	328	2035
139	329	2021
140	329	2008
141	332	2008
142	333	1999
143	337	2003
144	338	1995
145	338	1981
146	339	1969
147	340	1957
148	340	1945
149	341	1934
150	341	1922
151	342	1911
152	343	1899
153	343	1888
154	344	1878
155	345	1869
156	346	1860
157	349	1862
158	350	1851
159	350	1841
160	351	1830
161	351	1820
162	352	1810
163	353	1800
164	353	1790
165	354	1780
166	354	1770
167	355	1760
168	356	1751
169	356	1741
170	357	1732
171	357	1723
172	358	1714
173	359	1706
174	361	1703
175	363	1703
176	368	1711
177	369	1704
178	369	1696
179	370	1688
180	371	1680
181	372	1673
182	373	1665
183	373	1658
184	374	1650
185	376	1648
186	378	1643
187	382	1653
188	383	1647
189	388	1658
190	390	1653
191	391	1649
192	405	1693
193	406	1690
194	410	1695
195	412	1690
196	412	1683
197	419	1701
198	422	1702
199	424	1698
200	442	1758
201	443	1751
202	444	1747
203	446	1743
204	449	1743
205	450	1737
206	453	1736
207	463	1766
208	465	1762
209	466	1755
210	476	1781
211	479	1780
212	480	1773
213	494	1816
214	495	1809
215	496	1801
216	505	1825
217	509	1829
218	511	1825
219	514	1822
220	514	1814
221	515	1807
222	519	1810
223	521	1805
224	524	1805
225	527	1806
226	529	1801
227	542	1836
228	543	1830
229	544	1823
